"Name","Source","Size","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment"
"Allosaurus","MM","Large","unaligned","13 (natural armor)","51 (6d10 + 18)","60 ft.","19","13","17","2","12","5","","Perception +5","","","","","passive Perception 15","—","2 (450 XP)"," Pounce. If the allosaurus moves at least 30 feet straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 13 Strength saving throw or be knocked prone. If the target is prone, the allosaurus can make one bite attack against it as a bonus action."," Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 15 (2d10 + 4) piercing damage. Claw. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) slashing damage.","","","","","","","Grassland"
"Almiraj","ToA","Small","unaligned","13","3 (1d6)","50 ft.","2","16","10","2","14","10","","Perception +4, Stealth +5","","","","","darkvision 30 ft., passive Perception 14","—","0 (0 or 10 XP)"," Familiar. With the DM's permission, the find familiar spell can summon an almiraj. Keen Senses. The almiraj has advantage on Wisdom (Perception) checks that rely on hearing or sight."," Horn. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) piercing damage.","","","","","","",""
"Amphisbaena","TftYP","Huge","unaligned","12","60 (8d12 + 8)","30 ft., swim 30 ft.","19","14","12","1","10","3","","Perception +2","","","","","blindsight 10 ft., passive Perception 12","—","3 (700 XP)",""," Multiattack. The amphisbaena makes two attacks, only one of which can be a constrict attack. Bite. Melee Weapon Attack: +6 to hit, reach 10 ft., one creature. Hit: 11 (2d6 + 4) piercing damage. Constrict. Melee Weapon Attack: +6 to hit, reach 5 ft., one creature. Hit: 13 (2d8 + 4) bludgeoning damage, and the target is grappled (escape DC 16). Until this grapple ends, the creature is restrained, and the snake can't constrict another target.","","","","","","",""
"Ankylosaurus","MM","Huge","unaligned","15 (natural armor)","68 (8d12 + 16)","30 ft.","19","11","15","2","12","5","","","","","","","passive Perception 11","—","3 (700 XP)",""," Tail. Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 18 (4d6 + 4) bludgeoning damage. If the target is a creature, it must succeed on a DC 14 Strength saving throw or be knocked prone.","","","","","","","Grassland"
"Ape","MM","Medium","unaligned","12","19 (3d8 + 6)","30 ft., climb 30 ft.","16","14","14","6","12","7","","Athletics +5, Perception +3","","","","","passive Perception 13","—","1/2 (100 XP)",""," Multiattack. The ape makes two fist attacks. Fist. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage. Rock. Ranged Weapon Attack: +5 to hit, range 25/50 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage.","","","","","","","Forest"
"Armored Saber-Toothed Tiger","CoS","Large","unaligned","17 (half plate armor)","84 (7d10 + 14)","40 ft.","18","14","15","3","12","8","","Perception +3, Stealth +6","","","","","passive Perception 13","—","3 (700 XP)"," Keen Smell. The tiger has advantage on Wisdom (Perception) checks that rely on smell. Pounce. If the tiger moves at least 20 feet straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 14 Strength saving throw or be knocked prone. If the target is prone, the tiger can make one bite attack against it as a bonus action."," Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 10 (1d10 + 5) piercing damage. Claw. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) slashing damage.","","","","","","",""
"Aurochs","MPMM","Large","unaligned","11 (natural armor)","38 (4d10 + 16)","50 ft.","20","10","19","2","12","5","","","","","","","passive Perception 11","—","2 (450 XP)",""," Gore. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 14 (2d8 + 5) piercing damage. If the aurochs moved at least 20 feet straight toward the target immediately before the hit, the target takes an extra 9 (2d8) piercing damage, and the target must succeed on a DC 15 Strength saving throw or be knocked prone if it is a creature.","","","","","","","Grassland, Hill, Mountain"
"Awakened Brown Bear","WDMM","Large","unaligned","11 (natural armor)","34 (4d10 + 12)","40 ft., climb 30 ft.","19","10","16","10","13","7","","Perception +3","","","","","passive Perception 13","one language known by its creator","1 (200 XP)"," Keen Smell. The bear has advantage on Wisdom (Perception) checks that rely on smell."," Multiattack. The bear makes two attacks: one with its bite and one with its claws. Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) piercing damage. Claws. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.","","","","","","",""
"Awakened Elk","WDMM","Large","unaligned","10","13 (2d10 + 2)","50 ft.","16","10","12","10","10","6","","","","","","","passive Perception 10","one language known by its creator","1/4 (50 XP)"," Charge. If the elk moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 7 (2d6) damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone."," Ram. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage. Hooves. Melee Weapon Attack: +5 to hit, reach 5 ft., one prone creature. Hit: 8 (2d4 + 3) bludgeoning damage.","","","","","","",""
"Awakened Giant Wasp","WDMM","Medium","unaligned","12","13 (3d8)","10 ft., fly 50 ft.","10","14","10","10","10","3","","","","","","","passive Perception 10","one language known by its creator","1/2 (100 XP)",""," Sting. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 5 (1d6 + 2) piercing damage, and the target must make a DC 11 Constitution saving throw, taking 10 (3d6) poison damage on a failed save, or half as much damage on a successful one. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way.","","","","","","",""
