Animal/Monster Handler,"Responsible For The Safe Keeping, Dietary Care, And Exercise Of Animals Or Monsters."
Arborist,"Maintains And Cares For Trees, Often By Surgically Removing Dying Limbs."
Baler,"Bales Hay, Or In The Mills, Wool And Cotton Goods."
Beekeeper,"Owns And Breeds Bees, Especially For Their Honey."
Breeder,"Breeds Livestock, Animals, Or Monsters."
Cowherd,Supervises Grazing Cattle.
Dairyboy/Dairymaid,Milks Cows And Makes Cheese And Butter.
Falconer,"Keeps, Trains, And Hunts With Falcons, Hawks, Or Other Birds Of Prey."
Farmer,Operates A Farm Or Cultivates Land.
Fisher,Catches Fish.
Florist,Grows And Arranges Plants And Cut Flowers.
Forager,Searches For Food In The Wild.
Forester,Supervises The Wellbeing Of A Forest.
Fowler,Catches Or Ensnares Birds.
Gamekeeper,"Breeds And Protects Game, Typically For A Large Estate."
Groom,"Cleans And Brushes The Coats Horses, Dogs, Or Other Animals."
Herder,"Supervises A Herd Of Livestock Or Makes A Living From Keeping Livestock, Especially In Open Country."
Horse Trainer,Tends To Horses And Teaches Them Different Disciplines.
Hunter,Hunts Game Or Other Wild Animals.
Lumberjack,"Fells Trees, Cuts Them Into Logs, And Transports Them To A Sawmill."
Master-of-Horses,Supervises And Commands All Horses Under A Jurisdiction.
Master-of-Hounds,"Maintains A Pack Of Hounds And Their Associated Staff, Equipment, And Hunting Arrangements."
Miller,Owns Or Works In A Grain Mill.
Miner,"Works Underground In Mines In Order To Obtain Minerals Such As Coal, Diamonds, Or Gold."
Pathfinder,Scouts Ahead And Discovers A Path Or Way For Others.
Plumer,Hunts Birds For Their Plumes.
Prospector,"Searches For Mineral Deposits, Especially By Drilling And Excavation."
Ranger,Wanders Or Ranges Over A Particular Area Or Domain.
Renderer,Converts Waste Animal Tissue Into Usable Materials.
Shepherd,"Herds, Tends, And Guards Sheep."
Stablehand,Works In A Stable.
Thresher,Separates Grain From The Plants By Beating.
Trapper,"Traps Wild Animals, Especially For Their Fur."
Vintner,"Engages In Winemaking, Especially With Monitoring And Harvesting The Grapes."
Zookeeper,Maintains And Cares For Animals Or Monsters In A Zoo.
,
Architect,Designs Buildings Or Landscapes And In Many Cases Supervises Their Construction.
Brickmaker,"Crafts Bricks From Clay, Stone, Or Other Materials."
Brickmason,"Builds With Mineral Products Such As Stones, Bricks, Cinder Blocks, Or Tiles, Usually With The Use Of Mortar As A Bonding Agent."
Carpenter,Makes And Repairs Wooden Objects And Structures.
Construction Worker,A Laborer In The Physical Construction Of A Built Environment And Its Infrastructure.
General Contractor,"Supervises A Construction Site, Manages Its Vendors And Trades, And Communicates Information To All Involved Parties."
Glazier,Fits Glass Into Windows And Doors.
Plasterer,"Applies Plaster To Walls, Ceilings, Or Other Surfaces."
Roadlayer/Streetlayer,Paves Roads Or Streets.
Roofer/Thatcher,Builds And Repairs Roofs.
Stonemason,Cuts And Prepares Stone For Use In Construction.
Acrobat,Performs Spectacular Gymnastic Feats.
Actor,"Impersonates Characters, Typically On Stage In A Theatrical Production."
Aerialist/Trapezist,Performs Acrobatics High Above The Ground On A Tightrope Or Trapeze.
Arranger,Adapts A Musical Composition For Performance.
Athlete,Proficient In Sports And Other Forms Of Physical Exercise.
Busker/Street Musician,"Performs In A Public Place, Often For Money."
Celebrity,A Famous Person.
Chef,A Professional Cook Trained In The Culinary Arts.
Choirmaster,Trains A Choir And Orchestrates Their Singing When They Perform.
Clown,Comic Entertainer Who Wears A Traditional Costume And Exaggerated Makeup.
Comedian,Entertainer Whose Act Is Designed To Make An Audience Laugh.
Conductor,Directs The Performance Of An Orchestra.
Contortionist,Twists And Bends Their Body Into Strange And Unnatural Positions.
Curator,Keeper And Custodian Of A Museum Or Other Collections Of Precious Items.
Costumer,Makes Theatrical Costumes.
Dancer,Moves Their Body Rhythmically With Or Without Musical Accompaniment.
Equilibrist,Performs Balancing Feats.
Fashion Designer,"Applies Design, Aesthetics And Natural Beauty To Garments And Their Accessories."
Gladiator,"Fights Against Other People, Wild Animals, Or Monsters In An Arena."
Glasspainter,Produces Colorful Designs On Or In Glass.
Jester,"Professional Joker Or “Fool” At Court, Typically Wearing A Cap With Bells On It And Carrying A Mock Scepter."
Juggler,Keeps Several Objects In Motion In The Air At The Same Time By Alternately Tossing And Catching Them.
Illuminator,Paints And Calligraphs To Adorn Or Enlighten Scrolls And Manuscripts.
Limner,Paints Portraits Or Miniatures.
Makeup Artist,"Applies Cosmetics To Models, Actors, Nobles, Etc."
Minstrel,Recites Lyric Or Heroic Poetry For Nobility.
Model,"Poses As A Subject For An Artist, Fashion Designer, Or Sculptor."
Musician,Plays A Musical Instrument.
Painter,Paints Pictures.
Playwright,Writes Plays Or Musicals.
Poet,"Writes Ballads, Epics, Sonnets, Or Other Forms Of Poetry."
Ringmaster/Ringmistress,Master Of Ceremony Who Introduces The Circus Acts To The Audience.
Ropewalker,Walks Along A Tightrope To Entertain Others.
Sculptor,"Crafts Art By Carving Or Casting Blocks Of Marble, Stones, Or Other Hardened Minerals."
Singer/Soprano,Sings With Or Without Instrumental Accompaniment.
Skald,Composes And Recites Poems Honoring Heroes And Their Deeds.
Stage Magician,Deceives Their Audience With Seemingly Impossible Feats While Using Only Natural Means.
Stuntman/Stuntwoman,Performs Dangerous Stunts For Their Audience.
Tattooist,"Illustrates The Skin With Indelible Patterns, Pictures, Legends, Etc."
Theater Director,Supervises And Orchestrates The Mounting Of A Theatre Production By Unifying Various Endeavors And Aspects Of Production.
Wrestler,Performs In Matches Involving Grappling And Grappling-Type Techniques.
Writer,"Commits His Or Her Thoughts, Ideas, Etc., Into Written Language."
Accountant,Keeps And Inspects Financial Accounts.
Actuary,Compiles And Analyzes Statistics And Uses Them To Calculate Risk.
Animal Collector/Monster Collector,Collects And Deals In Rare And Exotic Animals And Monsters.
Business Owner,Owns A Business Entity In An Attempt To Profit From Its Successful Operations.
Debt Collector,Recovers Money Owed On Delinquent Accounts.
Draper,An Alcohol Merchant.
Appraiser,Assesses The Monetary Value Of Something.
Auctioneer,Conducts Auctions By Accepting Bids And Declaring Goods Sold.
Banker,An Officer Or Owner Of A Bank Or Group Of Banks.
Bagniokeeper,Owner Of A Bath House Or Brothel.
Bookkeeper,Keeps Records Of Financial Affairs.
Chandler,Deals In Provisions And Supplies.
Collector,"Collects Things Of A Specified Type, Professionally Or As A Hobby."
Entrepreneur,"Organizes And Operates A Business Or Businesses, Taking On Greater Than Normal Financial Risks In Order To Do So."
Grocer,A Food Merchant.
